Program,Fault
"#include <string>
#include <sstream>

int main() {
    std::string number_str = ""123.45"";
    int number;
    std::stringstream ss(number_str);
    ss >> number;
    if (ss.fail()) {
        std::cerr << ""Conversion failed!"" << std::endl;
        return 1;
    }
    double fractional_part = 0.0;
    std::string remaining_str = number_str.substr(0, number_str.find('.') + 1);
    
    std::stringstream ss2(remaining_str);
    double temp_double;
    ss2 >> temp_double;

    fractional_part = temp_double - (int)temp_double;
    
    std::cout << ""Fractional part: "" << fractional_part << std::endl;
    return 0;
}","std::string remaining_str = number_str.substr(0, number_str.find('.') + 1);"
"#include <algorithm>
#include <numeric>
#include <tuple>

int main() {
    std::vector<int> data = {1, 2, 3, 4, 5};
    std::vector<int> indices = {2, 4, 1, 3, 0};

    std::vector<int> sorted_data = data;
    std::sort(sorted_data.begin(), sorted_data.end());

    std::vector<int> result(data.size());
    for (size_t i = 0; i < data.size(); ++i) {
        result[i] = sorted_data[indices[i]];
    }

    int sum = std::accumulate(result.begin(), result.end(), 0);
    
    // Incorrectly using 'result.size() - 1' as the upper bound for the sum accumulation. Should be data.size().
    //sum = std::accumulate(result.begin(), result.begin() + result.size() - 1, 0);

    
    std::cout << sum << std::endl;
    return 0;
}",result.begin() + result.size() - 1
"#include <iostream>
#include <iomanip>

int main() {
    double price = 123.4567;
    std::cout << std::fixed << std::setprecision(2) << price << std::endl;
    double taxRate = 0.08;
    double taxAmount = price * taxRate;
    std::cout << ""Tax: "" << std::fixed << std::setprecision(2) << taxAmount << std::endl;
    double totalCost = price + taxAmount;
    std::cout << ""Total: "" << std::fixed << std::setprecision(2) << totalCost << std::endl;
    return 0;
}","std::cout << ""Tax: "" << std::fixed << std::setprecision(2) << taxAmount << std::endl;"
"#include <array>
#include <numeric>

int main() {
  std::array<int, 5> data = {1, 2, 3, 4, 5};
  int sum = 0;
  for (size_t i = 0; i <= data.size(); ++i) {
    sum += data[i];
  }
  std::cout << ""Sum: "" << sum << std::endl;
  return 0;
}",i <= data.size()
"#include <tuple>
#include <stdexcept>

int calculate_average(const std::tuple<int, int, int>& data) {
  int a = std::get<0>(data);
  int b = std::get<1>(data);
  int c = std::get<2>(data);
  
  if (a + b + c == 0) {
     throw std::runtime_error(""Cannot calculate average of zero sum."");
  }
  
  return (a + b + c) / 3.0; // Intentional floating-point division here
}

int main() {
  try {
    std::tuple<int, int, int> my_data = std::make_tuple(1, 2, 3);
    int average = calculate_average(my_data);
    std::cout << ""Average: "" << average << std::endl;
    
    std::tuple<int, int, int> zero_data = std::make_tuple(0,0,0);
    average = calculate_average(zero_data);
    std::cout << ""Average: "" << average << std::endl;
  
  } catch (const std::runtime_error& error) {
    std::cerr << ""Error: "" << error.what() << std::endl;
  }
  return 0;
}",return (a + b + c) / 3.0;
"#include <vector>
#include <numeric>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5};
    int sum = 0;
    for (int i = 0; i <= numbers.size(); ++i) {
        sum += numbers[i];
    }
    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",i <= numbers.size()
"#include <queue>
#include <vector>
#include <iostream>

int main() {
    std::queue<int> q;
    q.push(1);
    q.push(2);
    q.push(3);

    std::vector<int> v;
    while (!q.empty()) {
        int x = q.front();
        q.pop();
        v.push_back(x);
    }

    // Incorrectly accesses beyond the vector's bounds
    for (int i = 0; i <= v.size(); ++i) {
        std::cout << v[i] << "" "";
    }
    std::cout << std::endl;
    return 0;
}",for (int i = 0; i <= v.size(); ++i)
"#include <cmath>
#include <iostream>

int main() {
  double radius = 5.0;
  double area = M_PI * radius * radius;
  std::cout << ""The area of the circle is: "" << area << std::endl;
  
  double circumference = 2 * M_PI * radius;
  std::cout << ""The circumference of the circle is: "" << circumference << std::endl;
  
  double perimeter = circumference + 2 * radius;  //Incorrect perimeter calculation
  std::cout << ""The perimeter of the circle is: "" << perimeter << std::endl;

  return 0;
}",double perimeter = circumference + 2 * radius;
"#include <random> 
#include <chrono>
#include <iostream>

int main() {
    std::chrono::high_resolution_clock::time_point start_time = std::chrono::high_resolution_clock::now();
    std::random_device rd; 
    std::mt19937 gen(rd());
    std::uniform_int_distribution<> distrib(1, 100); // Generates integers from 1 to 100

    int sum = 0;
    for (int i = 0; i < 10; ++i) {
        int random_num = distrib(gen);
        // Incorrectly assigning random_num * 2 instead of random_num
        sum += random_num * 2;
    }

    std::chrono::high_resolution_clock::time_point end_time = std::chrono::high_resolution_clock::now();
    std::chrono::duration<double> duration = end_time - start_time;

    std::cout << ""Sum: "" << sum << std::endl;
    std::cout << ""Time taken: "" << duration.count() << "" seconds"" << std::endl;
    return 0;
}",sum += random_num * 2;
"#include <vector>
#include <numeric>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5};
    int sum = 0;
    for (int i = 0; i <= numbers.size(); ++i) {
        sum += numbers[i];
    }
    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",i <= numbers.size()
"#include <unordered_map>
#include <iostream>

int main() {
    std::unordered_map<int, std::string> myMap;
    myMap[1] = ""apple"";
    myMap[2] = ""banana"";
    myMap[3] = ""cherry"";

    int key = 4;
    std::cout << myMap[key] << std::endl; //Accessing non-existent key

    return 0;
}",std::cout << myMap[key] << std::endl;
"#include <string>
#include <sstream>

int main() {
    std::string input = ""123abc456"";
    std::stringstream ss(input);
    int number;
    ss >> number; // Attempts to read an integer from the string stream
    std::cout << ""Extracted number: "" << number << std::endl;
    std::string remaining_text = ss.str();
    std::cout << ""Remaining text: "" << remaining_text << std::endl;
    return 0;
}",ss >> number;
"#include <algorithm>
#include <numeric>
#include <map>

int main() {
    std::map<int, int> counts;
    int arr[] = {1, 2, 2, 3, 3, 3, 4, 4, 4, 4};
    int n = sizeof(arr) / sizeof(arr[0]);

    for (int i = 0; i < n; ++i) {
        counts[arr[i]]++;
    }

    int max_count = 0;
    int most_frequent = -1;

    for (const auto& pair : counts) {
        if (pair.second > max_count) {
            max_count = pair.second;
            most_frequent = pair.first;
        }
    }

    //Incorrectly using ++ instead of -- to find the minimum frequency count
    for (const auto& pair : counts) {
       if (pair.second < max_count) {
           most_frequent = pair.first;
       }
    }

    std::cout << ""Most frequent element: "" << most_frequent << std::endl;

    return 0;
}","if (pair.second < max_count) {
           most_frequent = pair.first;
       }"
"#include <iostream>
#include <limits>

int main() {
    long long sum = 0;
    for (int i = 0; i < 1000; ++i) {
        sum += i;
    }

    if (sum > std::numeric_limits<int>::max()) {
        std::cout << ""Overflow occurred!"" << std::endl;
    } else {
        std::cout << ""Sum: "" << sum << std::endl;
    }

    return 0;
}",sum += i;
"#include <fstream>
#include <iostream>
#include <string>

int main() {
  std::ifstream inputFile(""data.txt"");
  if (!inputFile.is_open()) {
    std::cerr << ""Error opening file!\n"";
    return 1;
  }

  std::string line;
  int sum = 0;
  while (std::getline(inputFile, line)) {
    try {
      int num = std::stoi(line);  //Potential error if line is not a number
      sum += num;
    } catch (const std::invalid_argument& e) {
      std::cerr << ""Invalid argument: "" << e.what() << '\n';
      //Instead of exiting, it continues to the next line, potentially leading to incorrect sum
    }
  }
  inputFile.close();
  std::cout << ""Sum: "" << sum << std::endl;
  return 0;
}","    //Instead of exiting, it continues to the next line, potentially leading to incorrect sum"
"#include <iostream>
#include <vector>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5};
    int sum = 0;
    for (int i = 0; i <= numbers.size(); ++i) {
        sum += numbers[i];
    }
    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",i <= numbers.size()
"#include <iostream>
#include <iomanip>

int main() {
    double price = 100.0;
    int quantity = 3;
    double discountPercentage = 0.15;

    double discountAmount = price * quantity * discountPercentage;
    double finalPrice = price * quantity - discountAmount;

    std::cout << ""Original Price: "" << std::fixed << std::setprecision(2) << price << std::endl;
    std::cout << ""Quantity: "" << quantity << std::endl;
    std::cout << ""Discount Percentage: "" << std::fixed << std::setprecision(2) << discountPercentage << std::endl;
    std::cout << ""Discount Amount: "" << std::fixed << std::setprecision(2) << discountAmount << std::endl;
    std::cout << ""Final Price: "" << std::fixed << std::setprecision(2) << finalPrice << std::endl;

    return 0;
}",double discountAmount = price * quantity * discountPercentage;
"#include <iomanip> 
#include <sstream> 
#include <limits> 

int main() {
  double pi = 3.14159265358979323846;
  std::stringstream ss;
  ss << std::fixed << std::setprecision(20) << pi;
  std::string pi_str = ss.str();

  double pi_recovered = std::stod(pi_str);

  if (pi_recovered != pi) {
    std::cout << ""Conversion failed!"" << std::endl;
  } else {
    std::cout << ""Conversion successful! Pi: "" << pi_recovered << std::endl;
  }

  long long max_int = std::numeric_limits<long long>::max();
  long long max_int_plus_one = max_int + 1;  // Potential overflow

  if (max_int_plus_one < max_int) {
    std::cout << ""Integer overflow detected!"" << std::endl;
  } else {
    std::cout << ""No integer overflow."" << std::endl;
  }

  return 0;
}",long long max_int_plus_one = max_int + 1;
"#include <cmath>
#include <iostream>

int main() {
    double radius = 5.0;
    double area = M_PI * radius * radius;
    double expected_area = 78.5398;

    if (area == expected_area) {
        std::cout << ""Area is correct: "" << area << std::endl;
    } else {
        std::cout << ""Area is incorrect: Expected "" << expected_area << "", got "" << area << std::endl;
    }

    return 0;
}",if (area == expected_area)
"#include <queue>
#include <vector>

int main() {
    std::queue<int> q;
    q.push(1);
    q.push(2);
    q.push(3);

    std::vector<int> v;
    while (!q.empty()) {
        int x = q.front();
        q.pop();
        v.push_back(x);
    }

    // Incorrect loop condition: should be v.size() - 1
    for (int i = 0; i <= v.size(); ++i) {
        std::cout << v[i] << "" "";
    }
    std::cout << std::endl;

    return 0;
}",for (int i = 0; i <= v.size(); ++i)
"#include <vector>
#include <numeric>
#include <algorithm>

int main() {
    std::vector<int> data = {1, 2, 3, 4, 5};
    std::vector<int> filtered_data;

    for (int x : data) {
        if (x > 2) {
            filtered_data.push_back(x);
        }
    }

    // Incorrectly calculate the sum of the filtered data
    int sum = std::accumulate(filtered_data.begin(), filtered_data.end(), 0);

    // The faulty logic is that we are not using filtered_data correctly
    std::cout << ""Sum of filtered data: "" << sum << std::endl;

    return 0;
}","int sum = std::accumulate(filtered_data.begin(), filtered_data.end(), 0);"
"#include <ctime>
#include <random>
#include <iostream>

int main() {
    std::random_device rd; 
    std::mt19937 gen(rd());
    std::uniform_int_distribution<> distrib(1, 100);

    int numbers[10];
    for (int i = 0; i < 10; ++i) {
        numbers[i] = distrib(gen);
    }

    int sum = 0;
    for (int i = 0; i <= 10; ++i) {  // Fault: Loop iterates one element beyond the array bounds
        sum += numbers[i];
    }

    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",for (int i = 0; i <= 10; ++i)
"#include <string>
#include <algorithm>

int main() {
    std::string text = ""This is a test sentence."";
    std::string word = ""test"";

    size_t pos = text.find(word);

    if (pos != std::string::npos) {
        text.erase(pos, 3); // Intended to remove ""test"" but removes only 3 chars
    }

    std::cout << text << std::endl;
    return 0;
}","text.erase(pos, 3);"
"#include <algorithm>
#include <vector>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5};
    int target = 7;

    std::vector<int> result;
    std::copy_if(numbers.begin(), numbers.end(), std::back_inserter(result), [target](int n){ return n > target; });

    for (int num : result) {
        std::cout << num << "" "";
    }
    std::cout << std::endl;

    return 0;
}",return n > target;
"#include <unordered_map>
#include <iostream>

int main() {
    std::unordered_map<std::string, int> counts;
    counts[""apple""] = 5;
    counts[""banana""] = 3;
    counts[""orange""] = 7;

    std::string fruit = ""grape"";

    if (counts.find(fruit) != counts.end()) {
        std::cout << ""Count of "" << fruit << "": "" << counts[fruit] << std::endl;
    } else {
        std::cout << ""Count of "" << fruit << "": 0"" << std::endl;
    }
    
    return 0;
}","std::cout << ""Count of "" << fruit << "": 0"" << std::endl;"
"#include <iostream>
#include <complex>

int main() {
    std::complex<double> z(1.0, 1.0);
    std::complex<double> w = z * z;
    std::cout << ""z = "" << z << std::endl;
    std::cout << ""z*z = "" << w << std::endl;

    double real_part = w.real();
    double imaginary_part = w.imag();

    if (real_part > 2.0) {
        std::cout << ""Real part is greater than 2.0"" << std::endl;
    } else {
        std::cout << ""Real part is not greater than 2.0"" << std::endl;
    }

    return 0;
}",if (real_part > 2.0)
"#include <fstream>
#include <iostream>
#include <string>

int main() {
    std::ifstream inputFile(""data.txt"");
    if (!inputFile.is_open()) {
        std::cerr << ""Error opening file!"" << std::endl;
        return 1;
    }

    std::string line;
    int sum = 0;
    while (std::getline(inputFile, line)) {
        try {
            int number = std::stoi(line);
            sum += number;
        } catch (const std::invalid_argument& e) {
            std::cerr << ""Invalid argument: "" << line << std::endl;
        }
        catch (const std::out_of_range& e){
            std::cerr << ""Out of range: "" << line << std::endl;
        }
    }

    inputFile.close();
    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",int number = std::stoi(line);
"#include <array>
#include <numeric>

int main() {
    std::array<int, 5> data = {1, 2, 3, 4, 5};
    int sum = 0;
    for (size_t i = 0; i <= data.size(); ++i) {  // Faulty loop condition
        sum += data[i];
    }
    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",i <= data.size()
"#include <map>
#include <iostream>

int main() {
    std::map<int, std::string> ages;
    ages[25] = ""Alice"";
    ages[30] = ""Bob"";
    ages[25] = ""Charlie""; // Overwrites Alice's name
    std::cout << ages[25] << std::endl;
    return 0;
}","ages[25] = ""Charlie"";"
"#include <cmath>
#include <iostream>

int main() {
    double radius = 5.0;
    double area = M_PI * radius * radius;
    
    // Incorrectly truncating the area to an integer before printing
    int truncatedArea = (int)area;
    
    std::cout << ""Area: "" << truncatedArea << std::endl;
    
    return 0;
}",int truncatedArea = (int)area;
"#include <tuple>
#include <numeric>
#include <vector>
#include <algorithm>

int main() {
    std::vector<int> data = {1, 2, 3, 4, 5};
    int sum = 0;

    for (int i = 0; i <= data.size(); ++i) {
        sum += data[i];
    }

    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",i <= data.size()
"#include <vector>
#include <numeric>
#include <algorithm>

int main() {
  std::vector<int> numbers = {1, 2, 3, 4, 5};
  int sum = 0;
  for (int i = 0; i <= numbers.size(); ++i) { // Fault: Should be i < numbers.size()
    sum += numbers[i];
  }
  std::cout << ""Sum: "" << sum << std::endl;
  return 0;
}",i <= numbers.size()
"#include <vector>
#include <numeric>

int main() {
    std::vector<int> data = {1, 2, 3, 4, 5};
    double sum = std::accumulate(data.begin(), data.end(), 0.0);
    
    // Incorrectly multiplying the sum by 2.0, intended to be dividing.
    double result = sum * 2.0;

    
    std::cout << ""Result: "" << result << std::endl;
    return 0;
}",double result = sum * 2.0;
"#include <string>
#include <algorithm>

int main() {
    std::string text = ""Hello, World!"";
    std::string reversed_text = text;
    std::reverse(reversed_text.begin(), reversed_text.end());
    
    if (text == reversed_text) {
        std::cout << ""The string is a palindrome."" << std::endl;
    } else {
        std::cout << ""The string is not a palindrome."" << std::endl;
    }
    
    return 0;
}",if (text == reversed_text)
"#include <algorithm>
#include <numeric>
#include <vector>

int main() {
  std::vector<int> data = {1, 2, 3, 4, 5};
  int sum = 0;
  
  // Incorrectly uses std::accumulate with a start value of 1, which affects the result.
  sum = std::accumulate(data.begin(), data.end(), 1);
  
  std::cout << ""Sum: "" << sum << std::endl;
  return 0;
}","std::accumulate(data.begin(), data.end(), 1);"
"#include <random>
#include <chrono>
#include <limits>

int main() {
    auto seed = std::chrono::system_clock::now().time_since_epoch().count();
    std::mt19937 generator(seed);
    std::uniform_int_distribution<int> distribution(1, 100);

    int sum = 0;
    for (int i = 0; i < 10; ++i) {
        int random_number = distribution(generator);
        sum += random_number;
    }

    // Incorrectly calculate average
    double average = sum / 10.0;
    
    std::cout << ""Sum: "" << sum << std::endl;
    std::cout << ""Average: "" << average << std::endl;

    return 0;
}",double average = sum / 10.0;
"#include <chrono>
#include <thread>
#include <iostream>

int main() {
    std::cout << ""Starting..."" << std::endl;
    std::this_thread::sleep_for(std::chrono::seconds(2));

    int num_iterations = 5;
    for (int i = 0; i <= num_iterations; ++i) {
        std::cout << ""Iteration: "" << i << std::endl;
        std::this_thread::sleep_for(std::chrono::milliseconds(500));
    }

    std::cout << ""Finished."" << std::endl;
    return 0;
}",i <= num_iterations
"#include <set>
#include <iostream>

int main() {
  std::set<int> numbers = {1, 2, 3, 4, 5};
  
  for (int i = 0; i < numbers.size(); ++i) {
    std::cout << numbers[i] << "" "";
  }
  std::cout << std::endl;
  return 0;
}","std::cout << numbers[i] << "" "";"
"#include <iostream>
#include <iomanip>

int main() {
  double pi = 3.14159;
  double radius = 5.0;
  double area = pi * radius * radius;

  std::cout << ""Area of the circle: "" << std::fixed << std::setprecision(2) << area << std::endl;
  return 0;
}",double area = pi * radius * radius;
"#include <map>
#include <string>

int main() {
    std::map<std::string, int> ages;
    ages[""Alice""] = 30;
    ages[""Bob""] = 25;
    ages[""Charlie""] = 40;

    std::string name = ""David"";
    int age = ages[name]; // Potential issue: Default constructed value
    
    std::cout << ""David's age is: "" << age << std::endl;

    return 0;
}",int age = ages[name];
"#include <cmath>
#include <iostream>

int main() {
    double radius = 5.0;
    double area = M_PI * radius * radius;
    double expected_area = 78.5398;

    if (area > expected_area + 0.1) {
        std::cout << ""Area is too large: "" << area << std::endl;
    } else if (area < expected_area - 0.1) {
        std::cout << ""Area is too small: "" << area << std::endl;
    } else {
        std::cout << ""Area is correct: "" << area << std::endl;
    }

    return 0;
}",if (area > expected_area + 0.1)
"#include <iostream>
#include <vector>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5};
    int sum = 0;
    for (int i = 0; i <= numbers.size(); ++i) {
        sum += numbers[i];
    }
    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",for (int i = 0; i <= numbers.size(); ++i)
"#include <vector>
#include <numeric>

int main() {
  std::vector<int> numbers = {1, 2, 3, 4, 5};
  int sum = std::accumulate(numbers.begin(), numbers.end(), 0);
  // Intended to calculate the product of the numbers
  int product = 1;
  for (int i = 0; i < numbers.size(); ++i) {
    product *= numbers[i];
  }

  // Incorrectly print the sum instead of the product
  std::cout << ""Product: "" << sum << std::endl;
  return 0;
}","std::cout << ""Product: "" << sum << std::endl;"
"#include <fstream>
#include <string>
#include <algorithm>

int main() {
    std::ifstream inputFile(""data.txt"");
    if (!inputFile.is_open()) {
        std::cerr << ""Error opening file!\n"";
        return 1;
    }

    std::string line;
    std::string allLines;
    while (std::getline(inputFile, line)) {
        allLines = allLines + line;
    }

    inputFile.close();

    std::string sortedLines = allLines;
    std::sort(sortedLines.begin(), sortedLines.end());

    std::ofstream outputFile(""sorted_data.txt"");
    if (!outputFile.is_open()) {
        std::cerr << ""Error opening output file!\n"";
        return 1;
    }
    outputFile << sortedLines << std::endl;
    outputFile.close();

    return 0;
}","std::sort(sortedLines.begin(), sortedLines.end());"
"#include <string>
#include <algorithm>

int main() {
    std::string text = ""Hello, world! This is a test."";
    std::string pattern = ""test"";

    size_t pos = text.find(pattern, 10); //Starts searching from index 10

    if (pos != std::string::npos) {
        std::cout << ""Pattern found at position: "" << pos << std::endl;
    } else {
        std::cout << ""Pattern not found."" << std::endl;
    }

    return 0;
}","text.find(pattern, 10)"
"#include <algorithm>
#include <vector>

int main() {
    std::vector<int> data = {5, 2, 8, 1, 9, 4};
    std::sort(data.begin(), data.begin() + data.size() - 1); // Fault: Incorrect sorting range

    for (int x : data) {
        std::cout << x << "" "";
    }
    std::cout << std::endl;
    return 0;
}",data.begin() + data.size() - 1
"#include <random>
#include <iostream>
#include <string>

int main() {
    std::random_device rd; 
    std::mt19937 gen(rd());
    std::uniform_int_distribution<> distrib(1, 100);

    std::string message = ""The secret number is: "";
    int secret_number = distrib(gen);
    message += std::to_string(secret_number);
    std::cout << message << std::endl;

    int guess;
    std::cout << ""Enter your guess: "";
    std::cin >> guess;

    if (guess <= secret_number) { // Incorrect comparison operator. Should be >=
        std::cout << ""Too low!\n"";
    } else {
        std::cout << ""Too high!\n"";
    }

    return 0;
}",if (guess <= secret_number)
"#include <queue>
#include <vector>
#include <algorithm>

int main() {
  std::queue<int> q;
  std::vector<int> values = {1, 2, 3, 4, 5};

  for (int val : values) {
    q.push(val);
  }

  std::vector<int> result;
  while (!q.empty()) {
    result.push_back(q.front());
    q.pop();
  }

  std::sort(result.begin(), result.end(), std::greater<int>());

  for (int val : result) {
    std::cout << val << "" "";
  }
  std::cout << std::endl;

  return 0;
}","std::sort(result.begin(), result.end(), std::greater<int>());"
"#include <iostream>
#include <iomanip>

int main() {
    double pi = 3.14159;
    double radius = 5.0;
    double area = pi * radius * radius;
    std::cout << ""Area of the circle: "" << std::fixed << std::setprecision(2) << area << std::endl;
    return 0;
}",double area = pi * radius * radius;
"#include <array>
#include <numeric>
#include <algorithm>

int main() {
  std::array<int, 5> data = {1, 2, 3, 4, 5};
  int sum = 0;
  std::for_each(data.begin(), data.begin() + 4, [&](int x){ sum += x; });
  std::cout << ""Sum: "" << sum << std::endl;
  return 0;
}",data.begin() + 4
"#include <map>
#include <iostream>

int main() {
  std::map<std::string, int> counts;
  counts[""apple""] = 5;
  counts[""banana""] = 10;

  int total = 0;
  for (const auto& pair : counts) {
    total += pair.second;
  }
  
  std::cout << ""Total: "" << total << std::endl;

  counts.erase(""banana""); // Remove banana after total calculation
  
  std::cout << ""Banana count after erase: "" << counts[""banana""] << std::endl;
  return 0;
}","counts.erase(""banana""); // Remove banana after total calculation"
"#include <cmath>
#include <iostream>

int main() {
    double radius = 5.0;
    double circumference = 2 * M_PI * radius;
    
    // Incorrect calculation: should be floor, not ceil
    int num_segments = ceil(circumference);
    
    std::cout << ""Number of segments: "" << num_segments << std::endl;
    return 0;
}",int num_segments = ceil(circumference);
"#include <vector>
#include <numeric>

int main() {
  std::vector<int> numbers = {1, 2, 3, 4, 5};
  int sum = std::accumulate(numbers.begin(), numbers.end(), 0.0);
  std::cout << ""Sum: "" << sum << std::endl;
  return 0;
}",0.0
"#include <ctime>
#include <iomanip>

int main() {
    std::time_t timer;
    std::time(&timer);

    int year = std::localtime(&timer)->tm_year; // Potentially incorrect year

    // Calculate the next leap year.
    int next_leap_year = (year % 4 == 0 && year % 100 != 0 || year % 400 == 0) ? year + 4 - (year % 4) : year + (4 - (year % 4)) ;  

    std::cout << ""Current year: "" << year << std::endl;
    std::cout << ""Next leap year: "" << next_leap_year << std::endl;
    return 0;
}",int next_leap_year = (year % 4 == 0 && year % 100 != 0 || year % 400 == 0) ? year + 4 - (year % 4) : year + (4 - (year % 4)) ;
"#include <complex> 
#include <iostream>

int main() {
    std::complex<double> z(1.0, 1.0);
    std::complex<double> w = z * z;
    std::cout << ""w.real() = "" << w.real() << std::endl;
    std::cout << ""w.imag() = "" << w.imag() << std::endl;

    double real_part = w.real();
    double imag_part = w.imag();

    if (real_part > 2.0) {
        std::cout << ""Real part is greater than 2.0"" << std::endl;
    } else {
        std::cout << ""Real part is not greater than 2.0"" << std::endl;
    }

    return 0;
}",if (real_part > 2.0)
"#include <string>
#include <algorithm>

int main() {
    std::string str = ""hello"";
    std::sort(str.begin(), str.end());
    std::string reversed_str = str;
    std::reverse(reversed_str.begin(), reversed_str.end());

    if (str == reversed_str) {
        std::cout << ""Palindrome!"" << std::endl;
    } else {
        std::cout << ""Not a palindrome."" << std::endl;
    }
    return 0;
}",if (str == reversed_str)
"#include <algorithm>
#include <numeric>
#include <functional>

int main() {
  std::vector<int> data = {1, 2, 3, 4, 5, 6, 7, 8, 9, 10};
  
  // Calculate the sum of squares of even numbers
  int sum_of_squares = 0;
  for (int x : data) {
    if (x % 2 == 0) {
      sum_of_squares += x * x;
    }
  }
  
  // Incorrectly calculate the average. Should divide by the number of even elements.
  double average = (double)sum_of_squares / data.size();
  
  std::cout << ""Sum of squares of even numbers: "" << sum_of_squares << std::endl;
  std::cout << ""Average: "" << average << std::endl;
  
  return 0;
}",double average = (double)sum_of_squares / data.size();
"#include <fstream>
#include <sstream>
#include <iostream>

int main() {
    std::string filename = ""data.txt"";
    std::ifstream file(filename);
    std::stringstream buffer;
    buffer << file.rdbuf();
    std::string file_content = buffer.str();

    size_t pos = file_content.find(""Error"");
    if (pos != std::string::npos) {
        std::cout << ""Error found in file: "" << pos << std::endl;
    } else {
        std::cout << ""Error not found in file."" << std::endl;
    }

    return 0;
}",if (pos != std::string::npos) {
"#include <queue>
#include <tuple>

int main() {
    std::priority_queue<int, std::vector<int>, std::greater<int>> pq;
    pq.push(5);
    pq.push(10);
    pq.push(2);
    pq.push(8);

    int sum = 0;
    while (!pq.empty()) {
        sum += pq.top();
        pq.pop();
    }

    if (sum == 25) {
        return 0;
    } else {
        return 1; //Incorrect return value
    }
}",return 1; //Incorrect return value
"#include <limits>
#include <random>

int main() {
    std::random_device rd;
    std::mt19937 gen(rd());
    std::uniform_int_distribution<> distrib(1, 1000);

    int sum = 0;
    for (int i = 0; i < 10; ++i) {
        int number = distrib(gen);
        sum += number;
    }

    if (sum > 10000) {
        std::cout << ""Sum is greater than 10000!\n"";
    } else {
        std::cout << ""Sum is not greater than 10000.\n"";
    }

    return 0;
}",if (sum > 10000)
"#include <random>
#include <iostream>
#include <iomanip>

int main() {
    std::random_device rd; 
    std::mt19937 gen(rd());
    std::uniform_int_distribution<> distrib(1, 100);

    int sum = 0;
    for (int i = 0; i < 10; ++i) {
        int num = distrib(gen);
        if (num % 2 == 0) {
            sum += num * 1.1; // subtle error: should be num / 2
        } else {
            sum += num;
        }
    }

    std::cout << std::fixed << std::setprecision(2) << ""Sum: "" << sum << std::endl;
    return 0;
}",sum += num * 1.1;
"#include <iostream>
#include <iomanip>

int main() {
    double radius = 5.0;
    double circumference = 2 * 3.14 * radius;
    std::cout << ""Circumference: "" << std::fixed << std::setprecision(2) << circumference << std::endl;
    
    double area = 3.14 * radius * radius; 
    std::cout << ""Area: "" << std::fixed << std::setprecision(2) << area << std::endl;
    
    //Intent: Calculate the area of a circle using M_PI from cmath.
    //Actual: Uses a hardcoded value of 3.14, resulting in a slightly inaccurate area.
    
    return 0;
}",double area = 3.14 * radius * radius;
"#include <map>
#include <iostream>

int main() {
    std::map<int, std::string> myMap;
    myMap[1] = ""one"";
    myMap[2] = ""two"";
    myMap[3] = ""three"";

    // Attempting to access a non-existent key safely
    auto it = myMap.find(4);
    if (it != myMap.end()) {
        std::cout << it->second << std::endl; //Potential error
    } else {
        std::cout << ""Key not found"" << std::endl;
    }

    return 0;
}",std::cout << it->second << std::endl;
"#include <vector>
#include <numeric>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5};
    int sum = std::accumulate(numbers.begin(), numbers.end(), 0);
    
    // Incorrect calculation - should be numbers.size() - 1
    int average = sum / numbers.size();

    std::cout << ""Average: "" << average << std::endl;
    return 0;
}",int average = sum / numbers.size();
"#include <cmath>
#include <iostream>

int main() {
    double radius = 5.0;
    double area = M_PI * radius * radius;
    
    //Incorrectly truncating the area to an integer
    int integerArea = static_cast<int>(area);
    
    std::cout << ""The area is: "" << integerArea << std::endl;
    return 0;
}",int integerArea = static_cast<int>(area);
"#include <vector>
#include <numeric>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5};
    int sum = 0;
    for (int i = 0; i <= numbers.size(); ++i) {
        sum += numbers[i];
    }
    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",for (int i = 0; i <= numbers.size(); ++i) {
"#include <string>
#include <algorithm>

int main() {
    std::string str = ""hello"";
    std::string reversed_str = str;
    std::reverse(reversed_str.begin(), reversed_str.end());
    if (str == reversed_str) {
        std::cout << ""Palindrome!"" << std::endl;
    } else {
        std::cout << ""Not a palindrome."" << std::endl;
    }
    return 0;
}",if (str == reversed_str)
